observation_id,photo_id,position,license_code,attribution,url,original_url,width,height,retrieved_at
40846037,64753551,2,,"(c) Mauricio Gabriel Herrera Madrid, all rights reserved",https://static.inaturalist.org/photos/64753551/square.jpeg,https://static.inaturalist.org/photos/64753551/original.jpeg,2048,1151,2026-09-13T02:26:12.474594+00:00
40846037,64753560,3,,"(c) Mauricio Gabriel Herrera Madrid, all rights reserved",https://static.inaturalist.org/photos/64753560/square.jpeg,https://static.inaturalist.org/photos/64753560/original.jpeg,2048,1151,2026-09-13T02:26:12.474594+00:00
40903310,64847693,0,,"(c) Chien Lee, all rights reserved",https://static.inaturalist.org/photos/64847693/square.jpg,https://static.inaturalist.org/photos/64847693/original.jpg,1080,720,2026-09-13T02:26:12.474594+00:00
41186437,65313856,0,,"(c) ritasouza, all rights reserved",https://static.inaturalist.org/photos/65313856/square.jpeg,https://static.inaturalist.org/photos/65313856/original.jpeg,1181,886,2026-09-13T02:26:12.474594+00:00
41327723,65550794,0,,"(c) ritasouza, all rights reserved",https://static.inaturalist.org/photos/65550794/square.jpeg,https://static.inaturalist.org/photos/65550794/original.jpeg,1181,886,2026-09-13T02:26:12.474594+00:00
41327723,65550841,1,,"(c) ritasouza, all rights reserved",https://static.inaturalist.org/photos/65550841/square.jpeg,https://static.inaturalist.org/photos/65550841/original.jpeg,1181,886,2026-09-13T02:26:12.474594+00:00
41327723,65550864,2,,"(c) ritasouza, all rights reserved",https://static.inaturalist.org/photos/65550864/square.jpeg,https://static.inaturalist.org/photos/65550864/original.jpeg,1181,886,2026-09-13T02:26:12.474594+00:00
41327723,65550897,3,,"(c) ritasouza, all rights reserved",https://static.inaturalist.org/photos/65550897/square.jpeg,https://static.inaturalist.org/photos/65550897/original.jpeg,1181,886,2026-09-13T02:26:12.474594+00:00
41327723,65550932,4,,"(c) ritasouza, all rights reserved",https://static.inaturalist.org/photos/65550932/square.jpeg,https://static.inaturalist.org/photos/65550932/original.jpeg,1181,886,2026-09-13T02:26:12.474594+00:00
41560997,65939557,0,cc-by-nc-sa,"(c) janconl, some rights reserved (CC BY-NC-SA)",https://inaturalist-open-data.s3.amazonaws.com/photos/65939557/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/65939557/original.jpg,800,530,2026-09-13T02:26:12.474594+00:00
42169654,66942170,0,cc-by-nd,"(c) miltrobinson, some rights reserved (CC BY-ND)",https://inaturalist-open-data.s3.amazonaws.com/photos/66942170/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/66942170/original.jpg,1800,1215,2026-09-13T02:26:12.474594+00:00
42487167,67463146,0,cc-by,"(c) Gianmaria Bonari, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/67463146/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/67463146/original.jpeg,2048,1365,2026-09-13T02:26:12.474594+00:00
42934982,68176505,0,cc-by-nc,"(c) lecleret, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/68176505/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/68176505/original.jpeg,2048,1356,2026-09-13T02:26:12.474594+00:00
43758896,69404105,0,,"(c) Claudia Rohr, all rights reserved",https://static.inaturalist.org/photos/69404105/square.jpeg,https://static.inaturalist.org/photos/69404105/original.jpeg,1920,1280,2026-09-13T02:26:12.474594+00:00
43758896,69404145,1,,"(c) Claudia Rohr, all rights reserved",https://static.inaturalist.org/photos/69404145/square.jpeg,https://static.inaturalist.org/photos/69404145/original.jpeg,1920,1280,2026-09-13T02:26:12.474594+00:00
43758896,69404191,2,,"(c) Claudia Rohr, all rights reserved",https://static.inaturalist.org/photos/69404191/square.jpeg,https://static.inaturalist.org/photos/69404191/original.jpeg,2048,1365,2026-09-13T02:26:12.474594+00:00
