id,whole_body_count,whole_body_max_score,throat_count,throat_max_score,throat_portrait_count,throat_portrait_max_score,detections_json,is_target_region
10966877006,2,0.17781184613704681,1,0.03342781215906143,0,,"[{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.17781184613704681,""bbox_xyxy"":[792.4773559570312,0.539593517780304,5472.0,3609.05322265625]},{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.102210134267807,""bbox_xyxy"":[812.3056030273438,32.46549987792969,5472.0,3610.561767578125]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.03342781215906143,""bbox_xyxy"":[3897.509521484375,564.3164672851562,5472.0,2165.578125]}]",0
10966928355,0,,1,0.014806343242526054,0,,"[{""class_id"":1,""class_name"":""throat"",""confidence"":0.014806343242526054,""bbox_xyxy"":[1508.723388671875,1154.506103515625,2407.5927734375,2495.294189453125]}]",0
10966949185,1,0.8600144982337952,0,,0,,"[{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.8600144982337952,""bbox_xyxy"":[1533.814453125,1013.2769165039062,3578.025390625,3582.35205078125]}]",0
10966992575,2,0.07947611063718796,1,0.032298486679792404,0,,"[{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.07947611063718796,""bbox_xyxy"":[1261.2025146484375,395.6625671386719,5472.0,3560.421630859375]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.032298486679792404,""bbox_xyxy"":[1721.8553466796875,1687.1429443359375,2617.703857421875,2376.533447265625]},{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.01474642101675272,""bbox_xyxy"":[1228.32275390625,320.1299133300781,5457.064453125,3573.581298828125]}]",0
10967013205,1,0.7562627196311951,2,0.5091820359230042,2,0.3749900460243225,"[{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.7562627196311951,""bbox_xyxy"":[1583.2845458984375,513.9209594726562,4066.153564453125,3636.933349609375]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.5091820359230042,""bbox_xyxy"":[2015.2615966796875,1334.98974609375,3258.925048828125,3552.1962890625]},{""class_id"":2,""class_name"":""throat_portrait"",""confidence"":0.3749900460243225,""bbox_xyxy"":[1988.0733642578125,1353.639892578125,3213.3701171875,3372.09375]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.1883688122034073,""bbox_xyxy"":[1986.402099609375,1341.79638671875,3251.529052734375,3519.6953125]},{""class_id"":2,""class_name"":""throat_portrait"",""confidence"":0.05469951406121254,""bbox_xyxy"":[1996.48193359375,1346.3671875,3231.899169921875,3435.317138671875]}]",0
10967090504,1,0.4539406895637512,1,0.2418753057718277,1,0.12081614136695862,"[{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.4539406895637512,""bbox_xyxy"":[2102.993408203125,810.2208251953125,4018.46826171875,3546.3564453125]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.2418753057718277,""bbox_xyxy"":[2516.08154296875,1312.805419921875,3408.957763671875,2743.48779296875]},{""class_id"":2,""class_name"":""throat_portrait"",""confidence"":0.12081614136695862,""bbox_xyxy"":[2521.226806640625,1330.8812255859375,3364.749755859375,2654.269287109375]}]",0
10967123476,1,0.469827264547348,1,0.6658042073249817,1,0.02435946837067604,"[{""class_id"":1,""class_name"":""throat"",""confidence"":0.6658042073249817,""bbox_xyxy"":[2516.29736328125,1808.489990234375,3554.26953125,3580.4111328125]},{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.469827264547348,""bbox_xyxy"":[1920.8328857421875,917.0526123046875,4293.158203125,3617.130126953125]},{""class_id"":2,""class_name"":""throat_portrait"",""confidence"":0.02435946837067604,""bbox_xyxy"":[2446.724853515625,1728.247314453125,3555.864501953125,3576.39501953125]}]",0
11034421986,1,0.883077085018158,1,0.29774266481399536,0,,"[{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.883077085018158,""bbox_xyxy"":[402.1185302734375,222.7521514892578,2226.943359375,1735.195556640625]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.29774266481399536,""bbox_xyxy"":[1014.5726928710938,1107.73779296875,1609.9022216796875,1517.760498046875]}]",0
11131942046,2,0.8195559978485107,2,0.7882847785949707,2,0.07243470102548599,"[{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.8195559978485107,""bbox_xyxy"":[549.534423828125,267.1199951171875,703.7193603515625,402.3507995605469]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.7882847785949707,""bbox_xyxy"":[579.3800048828125,322.01971435546875,640.5437622070312,389.4609680175781]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.605392575263977,""bbox_xyxy"":[575.6832885742188,323.6270751953125,642.4395751953125,391.982421875]},{""class_id"":2,""class_name"":""throat_portrait"",""confidence"":0.07243470102548599,""bbox_xyxy"":[584.2125854492188,323.2834167480469,640.1696166992188,388.76220703125]},{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.02307235263288021,""bbox_xyxy"":[546.7643432617188,267.8219909667969,762.4076538085938,403.7409362792969]},{""class_id"":2,""class_name"":""throat_portrait"",""confidence"":0.021916136145591736,""bbox_xyxy"":[579.4006958007812,322.50274658203125,640.3406982421875,389.4694519042969]}]",0
11190505045,1,0.7739838361740112,3,0.13516394793987274,0,,"[{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.7739838361740112,""bbox_xyxy"":[473.1496887207031,487.12115478515625,3289.995849609375,1501.7239990234375]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.13516394793987274,""bbox_xyxy"":[778.756591796875,987.1414794921875,1422.4302978515625,1352.1951904296875]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.06720000505447388,""bbox_xyxy"":[765.6777954101562,990.9314575195312,1419.1202392578125,1334.3900146484375]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.028928127139806747,""bbox_xyxy"":[828.1207275390625,988.1949462890625,1418.4715576171875,1355.6239013671875]}]",0
