source,encounter_id,photo_id,image_path,image_url,page_url,observed_at,observer,latitude,longitude,location_source,locality,license,quality_grade
inat,inat_184072092,321249483,data/sources/inat/images/184072092/321249483.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/321249483/original.jpg,https://www.inaturalist.org/observations/184072092,2023-08-03T05:29:00-04:00,Irene Domhoff,-17.2610407931,-56.6666138075,inat,Brazil,cc-by-nc,research
inat,inat_184072092,321249475,data/sources/inat/images/184072092/321249475.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/321249475/original.jpg,https://www.inaturalist.org/observations/184072092,2023-08-03T05:29:00-04:00,Irene Domhoff,-17.2610407931,-56.6666138075,inat,Brazil,cc-by-nc,research
inat,inat_184072092,321249514,data/sources/inat/images/184072092/321249514.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/321249514/original.jpg,https://www.inaturalist.org/observations/184072092,2023-08-03T05:29:00-04:00,Irene Domhoff,-17.2610407931,-56.6666138075,inat,Brazil,cc-by-nc,research
inat,inat_184072092,321249526,data/sources/inat/images/184072092/321249526.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/321249526/original.jpg,https://www.inaturalist.org/observations/184072092,2023-08-03T05:29:00-04:00,Irene Domhoff,-17.2610407931,-56.6666138075,inat,Brazil,cc-by-nc,research
inat,inat_184072092,321249530,data/sources/inat/images/184072092/321249530.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/321249530/original.jpg,https://www.inaturalist.org/observations/184072092,2023-08-03T05:29:00-04:00,Irene Domhoff,-17.2610407931,-56.6666138075,inat,Brazil,cc-by-nc,research
inat,inat_184072092,321249552,data/sources/inat/images/184072092/321249552.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/321249552/original.jpg,https://www.inaturalist.org/observations/184072092,2023-08-03T05:29:00-04:00,Irene Domhoff,-17.2610407931,-56.6666138075,inat,Brazil,cc-by-nc,research
inat,inat_184072092,321249540,data/sources/inat/images/184072092/321249540.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/321249540/original.jpg,https://www.inaturalist.org/observations/184072092,2023-08-03T05:29:00-04:00,Irene Domhoff,-17.2610407931,-56.6666138075,inat,Brazil,cc-by-nc,research
inat,inat_184123656,321348475,data/sources/inat/images/184123656/321348475.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/321348475/original.jpg,https://www.inaturalist.org/observations/184123656,2022-08-05T09:30:37-04:00,lkjohnson1,-17.3842054802,-56.7237809734,inat,"Mato Grosso, BR",cc-by-nc,research
inat,inat_184123656,321348503,data/sources/inat/images/184123656/321348503.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/321348503/original.jpg,https://www.inaturalist.org/observations/184123656,2022-08-05T09:30:37-04:00,lkjohnson1,-17.3842054802,-56.7237809734,inat,"Mato Grosso, BR",cc-by-nc,research
inat,inat_184123656,321348525,data/sources/inat/images/184123656/321348525.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/321348525/original.jpg,https://www.inaturalist.org/observations/184123656,2022-08-05T09:30:37-04:00,lkjohnson1,-17.3842054802,-56.7237809734,inat,"Mato Grosso, BR",cc-by-nc,research
inat,inat_184239842,321574740,data/sources/inat/images/184239842/321574740.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/321574740/original.jpg,https://www.inaturalist.org/observations/184239842,2017-09-02T10:16:12-05:00,walruswatermelon,-12.7946408279,-69.0964434717,inat,"Tambopata, PE-MD, PE",cc0,research
inat,inat_184239842,321574814,data/sources/inat/images/184239842/321574814.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/321574814/original.jpg,https://www.inaturalist.org/observations/184239842,2017-09-02T10:16:12-05:00,walruswatermelon,-12.7946408279,-69.0964434717,inat,"Tambopata, PE-MD, PE",cc0,research
inat,inat_184239842,321576031,data/sources/inat/images/184239842/321576031.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/321576031/original.jpg,https://www.inaturalist.org/observations/184239842,2017-09-02T10:16:12-05:00,walruswatermelon,-12.7946408279,-69.0964434717,inat,"Tambopata, PE-MD, PE",cc0,research
inat,inat_184413175,321901213,data/sources/inat/images/184413175/321901213.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/321901213/original.jpg,https://www.inaturalist.org/observations/184413175,2023-09-19T14:11:00-05:00,tomo_m,-12.7716839772,-69.061193964,inat,"Tambopata, PE-MD, PE",cc-by-nc,research
inat,inat_184413175,321901243,data/sources/inat/images/184413175/321901243.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/321901243/original.jpg,https://www.inaturalist.org/observations/184413175,2023-09-19T14:11:00-05:00,tomo_m,-12.7716839772,-69.061193964,inat,"Tambopata, PE-MD, PE",cc-by-nc,research
inat,inat_184525411,322115505,data/sources/inat/images/184525411/322115505.jpeg,https://static.inaturalist.org/photos/322115505/original.jpeg,https://www.inaturalist.org/observations/184525411,,Arthur,,,inat,,,casual
inat,inat_184525411,322115529,data/sources/inat/images/184525411/322115529.jpeg,https://static.inaturalist.org/photos/322115529/original.jpeg,https://www.inaturalist.org/observations/184525411,,Arthur,,,inat,,,casual
inat,inat_184747976,322529694,data/sources/inat/images/184747976/322529694.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/322529694/original.jpg,https://www.inaturalist.org/observations/184747976,2023-08-08T10:14:00-05:00,Neil DeMaster,-0.0737989794,-76.0987432315,inat,"Sucumbios, EC",cc-by-nc,research
inat,inat_184885177,323614564,data/sources/inat/images/184885177/323614564.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/323614564/original.jpg,https://www.inaturalist.org/observations/184885177,2023-09-21T14:04:36-04:00,Julian Blanc,-17.31879401,-56.6489540654,inat,"Mato Grosso, BR",cc-by-nc-sa,research
inat,inat_184885177,323614528,data/sources/inat/images/184885177/323614528.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/323614528/original.jpg,https://www.inaturalist.org/observations/184885177,2023-09-21T14:04:36-04:00,Julian Blanc,-17.31879401,-56.6489540654,inat,"Mato Grosso, BR",cc-by-nc-sa,research
inat,inat_184885177,323614544,data/sources/inat/images/184885177/323614544.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/323614544/original.jpg,https://www.inaturalist.org/observations/184885177,2023-09-21T14:04:36-04:00,Julian Blanc,-17.31879401,-56.6489540654,inat,"Mato Grosso, BR",cc-by-nc-sa,research
inat,inat_184885177,323614582,data/sources/inat/images/184885177/323614582.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/323614582/original.jpg,https://www.inaturalist.org/observations/184885177,2023-09-21T14:04:36-04:00,Julian Blanc,-17.31879401,-56.6489540654,inat,"Mato Grosso, BR",cc-by-nc-sa,research
inat,inat_185918563,324787028,data/sources/inat/images/185918563/324787028.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/324787028/original.jpg,https://www.inaturalist.org/observations/185918563,2023-01-23T13:06:00+01:00,saraalien1,40.4161541451,-3.7863345619,inat,"Comunidad de Madrid, ES-MD-MD, ES",cc-by-nc,casual
inat,inat_186239653,325423773,data/sources/inat/images/186239653/325423773.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/325423773/original.jpeg,https://www.inaturalist.org/observations/186239653,2023-10-01T05:18:00-04:00,Ruth Metterhausen,3.7557963756,-59.346100368,inat,"Upper Takutu-Upper Essequibo, GY",cc-by-nc,research
